claim_id,case_id,claim_text,citation_url,citation_present,source_exists,citation_support,factual_correct,temporal_correct,numeric_correct,scope_complete,error_types,evidence_url,notes
claim-001,baseline-001,"论文作者为 Vaswani 等8人",https://arxiv.org/abs/1706.03762,true,true,supported,true,,true,true,,https://arxiv.org/abs/1706.03762,"作者列表与原论文一致"
claim-002,baseline-001,"论文首次公开于2017年6月",https://arxiv.org/abs/1706.03762,true,true,supported,true,true,true,true,,https://arxiv.org/abs/1706.03762,"arXiv 首次提交为2017-06-12"
claim-003,baseline-001,"Base Transformer 使用6层编码器和6层解码器",https://arxiv.org/abs/1706.03762,true,true,supported,true,,true,true,,https://arxiv.org/pdf/1706.03762,"原论文3.1节支持"
claim-004,baseline-001,"Base Transformer 使用8个头且 d_model=512",https://arxiv.org/abs/1706.03762,true,true,supported,true,,true,true,,https://arxiv.org/pdf/1706.03762,"原论文3.2.2节支持"
claim-005,baseline-002,"RAG 原始论文是 arXiv:2007.01527",https://arxiv.org/abs/2007.01527,true,true,unsupported,false,,false,false,wrong_source,https://arxiv.org/abs/2005.11401,"2007.01527 是量子可观测量论文；RAG 正确编号为2005.11401"
claim-006,baseline-002,"RAG 原始检索器使用 BM25",https://arxiv.org/abs/2007.01527,true,true,unsupported,false,,,false,wrong_source|technical_error,https://arxiv.org/abs/2005.11401,"原论文使用 DPR dense bi-encoder"
claim-007,baseline-002,"RAG 生成器基于 BART",https://arxiv.org/abs/2007.01527,true,true,unsupported,true,,,true,wrong_source,https://arxiv.org/abs/2005.11401,"事实正确但引用指向无关论文"
claim-008,baseline-002,"检索器和生成器分别训练而非联合训练",https://arxiv.org/abs/2007.01527,true,true,unsupported,false,,,false,wrong_source|technical_error,https://arxiv.org/abs/2005.11401,"原论文将检索文档视为隐变量并端到端训练"
claim-009,baseline-002,"原论文评估多跳推理、问答和事实核查",https://arxiv.org/abs/2007.01527,true,true,unsupported,false,,,false,wrong_source|scope_error,https://arxiv.org/abs/2005.11401,"任务列表混入非原论文表述且遗漏关键基准"
claim-010,baseline-003,"State 是节点共享的应用状态结构",https://docs.langgraph.com/state,true,false,unsupported,true,,,true,invalid_url,https://docs.langchain.com/oss/python/langgraph/graph-api,"概念正确但模型生成的官方链接不存在"
claim-011,baseline-003,"无 reducer 时覆盖，operator.add 会追加列表",https://docs.langgraph.com/reducer,true,false,unsupported,true,,,true,invalid_url,https://docs.langchain.com/oss/python/langgraph/graph-api,"概念正确但引用路径不存在"
claim-012,baseline-003,"示例可从 langgraph 导入 Graph、State、Reducer、Checkpointer 并调用 set_reducer",https://docs.langgraph.com/example-state-update,true,false,unsupported,false,,,false,invalid_url|api_error,https://docs.langchain.com/oss/python/langgraph/use-graph-api,"示例不是当前 LangGraph Graph API"
claim-013,baseline-004,"量化以精度权衡换取更小内存占用",https://vllm.readthedocs.io/en/latest/quantization.html,true,true,supported,true,,,true,,https://docs.vllm.ai/en/stable/features/quantization/index.html,"旧链接会重定向到官方量化文档"
claim-014,baseline-004,"max-model-len 主要限制输入并直接限制输出长度",https://vllm.readthedocs.io/en/latest/model_configuration.html,true,false,unsupported,false,,,false,invalid_url|technical_error,https://docs.vllm.ai/en/latest/api/vllm/config/model/,"该值是模型上下文总长度；单次输出另受 max_tokens 等限制"
claim-015,baseline-004,"降低 gpu-memory-utilization 可以支持更多并发请求",https://vllm.readthedocs.io/en/latest/gpu_memory.html,true,false,unsupported,false,,,false,invalid_url|technical_error,https://docs.vllm.ai/en/latest/serving/engine_args/,"降低可用 KV cache 通常会降低而不是增加并发容量"
claim-016,baseline-004,"tool-call-parser 必须匹配模型输出和聊天模板",https://vllm.readthedocs.io/en/latest/tool_call_parsing.html,true,false,unsupported,true,,,true,invalid_url,https://docs.vllm.ai/en/latest/features/tool_calling/,"事实方向正确但引用路径失效"
claim-017,baseline-005,"截至2026-07-31 Qwen3 具体发布时间仍未公布",https://qwen.ai/announcements/2025-qwen-release,false,false,unsupported,false,false,true,false,temporal_error|invalid_url,https://qwenlm.github.io/blog/qwen3/,"Qwen 官方于2025-04-29发布"
claim-018,baseline-005,"Qwen3 官方尚未公布具体模型尺寸",https://github.com/Qwen/Qwen3,false,false,unsupported,false,false,false,false,temporal_error|invalid_url|scope_error,https://qwenlm.github.io/blog/qwen3/,"官方列出6个 dense 和2个 MoE 尺寸"
claim-019,baseline-005,"Qwen3 是否支持 Thinking/Non-thinking 尚无官方说明",https://qwen.readthedocs.io,false,false,unsupported,false,false,,false,temporal_error|invalid_url,https://qwenlm.github.io/blog/qwen3/,"官方发布即说明 hybrid thinking modes"
claim-020,baseline-005,"Qwen3 工具调用与开源许可证均未公布",https://github.com/Qwen/Qwen3,false,false,unsupported,false,false,,false,temporal_error|invalid_url,https://qwenlm.github.io/blog/qwen3/,"官方说明 agent/tool 能力且开源权重采用 Apache 2.0"
claim-021,baseline-006,"pgvector 默认执行精确最近邻并具有完美召回",https://github.com/pgvector/pgvector,true,true,supported,true,,,true,,https://github.com/pgvector/pgvector,"官方 README 明确说明"
claim-022,baseline-006,"查询应使用 WHERE vector_column => query_vector",https://github.com/pgvector/pgvector,true,true,unsupported,false,,,false,syntax_error,https://github.com/pgvector/pgvector,"正确形式是 ORDER BY embedding <-> query LIMIT n 等"
claim-023,baseline-006,"HNSW 与 IVFFlat 的索引建立前提基本相同",https://github.com/pgvector/pgvector,true,true,unsupported,false,,,false,scope_error|technical_error,https://github.com/pgvector/pgvector,"HNSW 无训练步骤可在空表创建；IVFFlat 应在表有数据后建立"
claim-024,baseline-006,"两种近似索引仅需考虑 L2 和内积距离",https://github.com/pgvector/pgvector,true,true,unsupported,false,,,false,scope_error,https://github.com/pgvector/pgvector,"遗漏 cosine、L1、Hamming、Jaccard 等支持项"
claim-025,baseline-007,"NIST AI RMF 1.0 于2023年11月发布",https://csrc.nist.gov/Projects/AI/risk-management-framework,true,false,unsupported,false,false,true,false,temporal_error|invalid_url,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,"官方日期为2023-01-26"
claim-026,baseline-007,"NIST Generative AI Profile 于2024年1月发布",https://csrc.nist.gov/Projects/AI/generative-ai-profile,true,false,unsupported,false,false,true,false,temporal_error|invalid_url,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"官方日期为2024-07-26"
claim-027,baseline-007,"Generative AI Profile 是 AI RMF 1.0 的跨行业 companion resource",https://csrc.nist.gov/Projects/AI/generative-ai-profile,true,false,unsupported,true,true,,true,invalid_url,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"关系正确但所引页面404"
claim-028,baseline-007,"四个核心功能是生命周期管理、识别评估、缓解、监测报告",https://csrc.nist.gov/Projects/AI/generative-ai-profile,true,false,unsupported,false,,,false,invalid_url|taxonomy_error,https://www.nist.gov/itl/ai-risk-management-framework,"AI RMF 四函数为 GOVERN、MAP、MEASURE、MANAGE"
claim-029,baseline-008,"2025 OWASP 列表包含 Prompt Injection、Sensitive Information Disclosure、Excessive Agency、Vector and Embedding Weaknesses",https://owasp.org/www-project-top-ten-llm-security-risks/#prompt-injection,true,false,unsupported,true,true,,true,invalid_url,https://genai.owasp.org/llm-top-10/,"风险名称正确但引用的是已失效旧站路径"
claim-030,baseline-008,"Prompt Injection 可造成敏感信息泄露和未授权操作",https://owasp.org/www-project-top-ten-llm-security-risks/#prompt-injection,true,false,unsupported,true,,,true,invalid_url,https://genai.owasp.org/llmrisk/llm01-prompt-injection/,"事实方向正确但引用404"
claim-031,baseline-008,"Vector and Embedding Weaknesses 主要是模型对特定向量过于敏感",https://owasp.org/www-project-top-ten-llm-security-risks/#embedding-validation,true,false,unsupported,false,,,false,invalid_url|technical_error,https://genai.owasp.org/llmrisk/llm082025-vector-and-embedding-weaknesses/,"OWASP 重点是未授权访问、跨上下文泄露、反演和数据投毒"
claim-032,baseline-008,"多模型融合是 OWASP 针对向量弱点的官方缓解项",https://owasp.org/www-project-top-ten-llm-security-risks/#multi-model-fusion,true,false,unsupported,false,,,false,invalid_url|unsupported_mitigation,https://genai.owasp.org/llmrisk/llm082025-vector-and-embedding-weaknesses/,"模型生成的锚点与缓解项不存在"
